"","proposal_ID","loc_time","loc_year","propspec","signedas","loc_month","livemonth","post_mid","congress_2","passed2","scsentences","scmonth","sctrend","exog_event","fil_distance","presApp","sTerm","midtermyear_unifsen","pres.maj.med","opp.sen","agendaSize","scmonths","key","critical"
"121",57,197007,1970,"revenue sharing.../4","General Revenue Sharing Act (512)",7,19,"0","91",0,0,0,0,0,0.674600005149841,66.559,0,0,0.870999976992607,58,11,4,0,0
"122",60,197003,1970,"Natl Student Loan Assoc","---",3,15,"0","91",0,3,1,3,0,0.674600005149841,64.086,0,0,0.870999976992607,58,8,4,0,1
"123",60,197008,1970,"Natl Student Loan Assoc","---",8,20,"0","91",0,0,0,0,0,0.674600005149841,63.013,0,0,0.870999976992607,58,11,4,0,0
"124",60,197012,1970,"Natl Student Loan Assoc","---",12,24,"0","91",0,0,0,0,0,0.674600005149841,60.848,0,0,0.870999976992607,58,10,4,0,0
"125",60,197010,1970,"Natl Student Loan Assoc","---",10,22,"0","91",0,0,0,0,0,0.674600005149841,65.774,0,0,0.870999976992607,58,14,4,0,0
"126",60,197011,1970,"Natl Student Loan Assoc","---",11,23,"0","91",0,0,0,0,0,0.674600005149841,64.61,0,0,0.870999976992607,58,10,4,0,0
"127",60,197005,1970,"Natl Student Loan Assoc","---",5,17,"0","91",0,0,1,2,0,0.674600005149841,64.443,0,0,0.870999976992607,58,9,4,0,1
"128",60,197007,1970,"Natl Student Loan Assoc","---",7,19,"0","91",0,0,0,0,0,0.674600005149841,66.559,0,0,0.870999976992607,58,11,4,0,0
"129",60,197006,1970,"Natl Student Loan Assoc","---",6,18,"0","91",0,0,0,0,0,0.674600005149841,63.051,0,0,0.870999976992607,58,11,4,0,0
"130",60,197004,1970,"Natl Student Loan Assoc","---",4,16,"0","91",0,16,1,4,0,0.674600005149841,63.64,0,0,0.870999976992607,58,9,4,0,1
"131",60,197009,1970,"Natl Student Loan Assoc","---",9,21,"0","91",0,0,0,0,0,0.674600005149841,63.193,0,0,0.870999976992607,58,14,4,0,0
"132",67,197008,1970,"Housing Act","HUD Act of 1970 (609)",8,20,"0","91",0,0,0,0,0,0.674600005149841,63.013,0,0,0.870999976992607,58,11,0,0,0
"133",67,197009,1970,"Housing Act","HUD Act of 1970 (609)",9,21,"0","91",0,0,0,0,0,0.674600005149841,63.193,0,0,0.870999976992607,58,14,0,0,0
"134",67,197012,1970,"Housing Act","HUD Act of 1970 (609)",12,24,"0","91",1,0,0,0,0,0.674600005149841,60.848,0,0,0.870999976992607,58,10,0,0,0
"135",67,197006,1970,"Housing Act","HUD Act of 1970 (609)",6,18,"0","91",0,0,0,0,0,0.674600005149841,63.051,0,0,0.870999976992607,58,11,0,0,0
"136",67,197011,1970,"Housing Act","HUD Act of 1970 (609)",11,23,"0","91",0,0,0,0,0,0.674600005149841,64.61,0,0,0.870999976992607,58,10,0,0,0
"137",67,197007,1970,"Housing Act","HUD Act of 1970 (609)",7,19,"0","91",0,0,0,0,0,0.674600005149841,66.559,0,0,0.870999976992607,58,11,0,0,0
"138",67,197010,1970,"Housing Act","HUD Act of 1970 (609)",10,22,"0","91",0,0,0,0,0,0.674600005149841,65.774,0,0,0.870999976992607,58,14,0,0,0
"139",68,197005,1970,"clean waters act...0/6","---",5,17,"0","91",0,0,1,2,0,0.674600005149841,64.443,0,0,0.870999976992607,58,9,4,0,1
"140",68,197009,1970,"clean waters act...0/6","---",9,21,"0","91",0,0,0,0,0,0.674600005149841,63.193,0,0,0.870999976992607,58,14,4,0,0
"141",68,197002,1970,"clean waters act...0/6","---",2,14,"0","91",0,0,1,2,0,0.674600005149841,70.291,0,0,0.870999976992607,58,6,4,0,1
"142",68,197003,1970,"clean waters act...0/6","---",3,15,"0","91",0,3,1,3,0,0.674600005149841,64.086,0,0,0.870999976992607,58,8,4,0,1
"143",68,197012,1970,"clean waters act...0/6","---",12,24,"0","91",0,0,0,0,0,0.674600005149841,60.848,0,0,0.870999976992607,58,10,4,0,0
"144",68,197004,1970,"clean waters act...0/6","---",4,16,"0","91",0,16,1,4,0,0.674600005149841,63.64,0,0,0.870999976992607,58,9,4,0,1
